id,title,description,min_level,section,image,section_image
1,What Emotional Intelligence Actually Is,"The ability to notice, understand, and manage emotions in yourself and others.",1,Foundations,unit1.png,
2,The Four EQ Domains,"Self-awareness, self-management, social awareness, and relationship management.",1,Foundations,unit2.png,
3,EQ vs IQ: What Each Predicts,Why raw intelligence and emotional skill predict different kinds of success.,1,Foundations,unit3.png,
4,The Brain's Role in Emotion,"A quick, practical look at why emotions can hijack clear thinking.",1,Foundations,unit4.png,
5,Why EQ Can Be Trained,"Emotional intelligence is a skill you build with practice, not a fixed trait.",1,Foundations,unit5.png,
6,Naming Your Emotions Precisely,"Swapping a vague ""bad"" for the actual feeling underneath it.",1,Self-Awareness,unit6.png,
7,Recognizing Physical Signals of Emotion,Your body often tells you what you feel before your mind catches up.,1,Self-Awareness,unit7.png,
8,Identifying Your Emotional Triggers,Spotting the specific situations that reliably set you off.,1,Self-Awareness,unit8.png,
9,"Strengths, Weaknesses, and Blind Spots","Seeing yourself clearly, including the parts you would rather not.",1,Self-Awareness,unit9.png,
10,Journaling as a Self-Awareness Tool,Writing regularly to notice patterns in how you feel and react.,1,Self-Awareness,unit10.png,
11,The Pause Between Trigger and Reaction,Creating a small gap where you get to choose your response.,1,Self-Regulation,unit11.png,
12,Reframing Negative Thoughts,"Finding a more accurate, less catastrophic way to see a situation.",1,Self-Regulation,unit12.png,
13,Managing Anger Constructively,Expressing anger without it running the whole conversation.,1,Self-Regulation,unit13.png,
14,Handling In-the-Moment Anxiety,Simple techniques to steady yourself when anxiety spikes.,1,Self-Regulation,unit14.png,
15,Building Emotional Resilience,"Recovering from setbacks faster, without pretending they did not hurt.",1,Self-Regulation,unit15.png,
16,Delaying Gratification,Choosing a better later outcome over an easier one right now.,1,Self-Regulation,unit16.png,
17,Intrinsic vs Extrinsic Motivation,"Doing something because you want to, versus for an outside reward.",1,Motivation,unit17.png,
18,Setting Meaningful Goals,Goals that connect to something you actually care about.,1,Motivation,unit18.png,
19,Staying Optimistic Under Setbacks,Explaining a setback in a way that keeps you moving.,1,Motivation,unit19.png,
20,Commitment and Follow-Through,Keeping a promise to yourself once the initial motivation fades.,1,Motivation,unit20.png,
21,Cognitive vs Emotional Empathy,"Understanding what someone feels, versus actually feeling it with them.",1,Empathy,unit21.png,
22,Active Listening Techniques,"Listening to actually understand, not just to reply.",1,Empathy,unit22.png,
23,Reading Nonverbal Cues,"What tone, posture, and expression tell you beyond the words.",1,Empathy,unit23.png,
24,Perspective-Taking,Genuinely trying on someone else's point of view.,1,Empathy,unit24.png,
25,Empathy Fatigue,"Why constant empathy can wear you out, and how to protect it.",1,Empathy,unit25.png,
26,Building Rapport Quickly,Small habits that make someone feel comfortable with you fast.,1,Social Skills,unit26.png,
27,Giving Constructive Feedback,Feedback that helps someone improve instead of just feeling criticized.,1,Social Skills,unit27.png,
28,Receiving Criticism Gracefully,Hearing hard feedback without getting defensive.,1,Social Skills,unit28.png,
29,Resolving Conflict Without Escalating,Keeping a disagreement from turning into a fight.,1,Social Skills,unit29.png,
30,Ethical Persuasion and Influence,"Genuinely making your case, without manipulating anyone.",1,Social Skills,unit30.png,
31,Reading the Room in Groups,"Sensing the overall mood of a group, not just one person.",1,Social Skills,unit31.png,
32,Emotional Intelligence in Leadership,Why the best leaders manage feelings as carefully as tasks.,1,EQ at Work,unit32.png,
33,Reading Your Manager's Emotional State,Picking up on stress or pressure before it becomes a problem.,1,EQ at Work,unit33.png,
34,Team Emotional Climate,"The shared mood of a team, and how it shapes everyone's work.",1,EQ at Work,unit34.png,
35,Difficult Conversations at Work,Raising a hard topic clearly and calmly.,1,EQ at Work,unit35.png,
36,Staying Composed Under Deadline Pressure,Keeping a clear head when everything feels urgent at once.,1,EQ at Work,unit36.png,
37,Emotional Contagion,How one person's mood can spread through a whole room.,1,Advanced and Integration,unit37.png,
38,Cultural Differences in Emotional Expression,Why the same emotion can look very different across cultures.,1,Advanced and Integration,unit38.png,
39,"Common EQ Myths, Debunked",Clearing up popular but inaccurate ideas about emotional intelligence.,1,Advanced and Integration,unit39.png,
40,Tracking Your Own EQ Growth,Noticing real progress in how you handle emotions over time.,1,Advanced and Integration,unit40.png,
