term,definition,link
Emotional intelligence,"Usually shortened to EQ — the skill of noticing, understanding, and managing emotions, both your own and other people's, and using that awareness to think and act well.",https://en.wikipedia.org/wiki/Emotional_intelligence
EQ,"Short for emotional intelligence — how well you notice, understand, and manage emotions, in yourself and in other people.",
Self-awareness,"One of the four EQ domains — accurately noticing your own emotions as they happen, instead of being blindsided by them later.",
Self-management,"One of the four EQ domains — actually doing something useful with the emotions you notice, like staying calm under pressure or pausing before you react.",
Social awareness,"One of the four EQ domains — picking up on other people's emotions and the overall mood of a group, not just your own feelings.",
Relationship management,"One of the four EQ domains — using your read on emotions, yours and others', to actually handle relationships well: giving feedback, resolving conflict, building rapport.",
Goleman,"Daniel Goleman, the psychologist who popularized emotional intelligence and organized it into four domains: self-awareness, self-management, social awareness, and relationship management.",https://en.wikipedia.org/wiki/Daniel_Goleman
Trigger,"Something specific that reliably sets off a strong emotional reaction in you, in a repeatable pattern — e.g. always feeling defensive whenever a particular coworker gives you feedback in meetings — not just a random one-off bad mood.",
Reframing,"Deliberately looking for a more accurate, less catastrophic way to see a stressful situation, e.g. swapping ""I completely bombed that presentation"" for ""one slide went rough, but the rest landed fine."" It isn't denial or pretending things are fine, it's correcting an overly negative read on what's actually happening.",
Delaying gratification,"Choosing a better reward later over an easier one right now, e.g. skipping dessert tonight to stay on track for a longer-term health goal. It's a core piece of self-regulation, resisting the pull of the immediate option because the later one is worth more.",
Intrinsic motivation,"Wanting to do something because of an internal desire, like curiosity, personal joy, or your own values, rather than for an outside reward.",
Extrinsic motivation,"Wanting to do something because of an outside reward, like a bonus or someone else's approval, rather than genuine internal interest.",
Cognitive empathy,"Understanding what someone else is feeling without necessarily feeling that emotion yourself. It's a mental read on their situation, not an emotional one.",
Emotional empathy,"Actually feeling, to some degree, what someone else is feeling, not just intellectually recognizing it the way cognitive empathy does.",
Active listening,"Listening with the actual goal of understanding the other person, instead of just waiting for your turn to talk or planning your reply while they're still speaking.",
Perspective-taking,"Genuinely trying to see a situation through someone else's actual point of view, not just imagining how you personally would feel if you were in their position.",
Empathy fatigue,"The exhaustion that builds up from constantly absorbing other people's emotions. Protecting your own emotional space is what keeps empathy sustainable instead of burning you out.",
Emotional contagion,"The way one person's mood, good or bad, can quietly spread through a whole room or team without anyone saying a word about it — e.g. one visibly stressed teammate putting an entire meeting on edge.",
Team emotional climate,"The shared, overall mood of a team, shaped by everyone in it — one person's anxiety or hostility can drag the whole group's climate down.",
Nonverbal cue,"A signal that carries emotional meaning without using words, like tone of voice, posture, or facial expression, which often reveals more than what someone is actually saying.",
Ethical persuasion,"Convincing someone using honest reasons and genuine arguments, e.g. laying out real tradeoffs and evidence, as opposed to manipulation or pressure tactics like guilt-tripping or false urgency that push someone toward a decision without their real understanding.",
Useful optimism,"Explaining a setback to yourself in a way that keeps you moving forward, rather than giving up or blaming yourself for it — e.g. treating a rejected pitch as ""that particular approach didn't land"" instead of ""I'm bad at this."" It isn't about denying the setback happened, just refusing to let it stop you.",
Grounding,"A quick anxiety-calming technique: deliberately noticing what your senses are picking up right now — what you can see, hear, or feel — to pull your attention out of a spiral of worry and back into the present moment.",
