id,unit_id,type,role,related_main_id,prompt,options,correct_index,image,audio,explanation
1,1,true_false,preview,2,Emotional intelligence involves managing emotions.,,true,cards/card_1.png,,
2,1,multiple_choice,main,,What does emotional intelligence involve?,Managing emotions|Memorizing facts|Solving equations,0,,,"EQ means noticing, understanding, and managing emotions — in yourself and in other people."
3,1,true_false,exercise,2,Emotional intelligence includes understanding other people's emotions.,,true,,,
4,1,select_blank,exercise,2,"EQ involves noticing, understanding, and ___ emotions.",managing|ignoring|hiding,0,,,
5,1,multiple_choice,exercise,2,Whose emotions does EQ cover?,Both|Just yours|Just others,0,,,
6,2,multiple_choice,preview,7,Which is one of the four EQ domains?,Self-awareness|Time management|Shoe size,0,cards/card_6.png,,"Self-awareness is one of the core domains because it involves understanding your own emotions and strengths. Time management is a practical skill you can learn, but it isn't considered a primary EQ domain."
7,2,multi_select,main,,Pick the four EQ domains.,Self-awareness|Self-management|Social awareness|Relationship mgmt|Time management,0|1|2|3,,,"""Time management"" is a useful skill but not one of Goleman's four EQ domains."
8,2,true_false,exercise,7,Multitasking is one of the four EQ domains.,,false,,,"Multitasking is actually inefficient and stressful for the brain; it’s not recognized as an emotional intelligence domain. The four domains focus on understanding and managing emotions, not task switching."
9,2,select_blank,exercise,7,There are ___ EQ domains in total.,four|two|ten,0,,,There are four key EQ domains that help us understand how we interact with ourselves and others. These domains provide a framework for emotional growth.
10,2,multiple_choice,exercise,7,Which domain covers handling relationships?,Relationship mgmt|Self-awareness|Neither,0,,,"Relationship management is the domain specifically dedicated to handling interactions, empathy, and building rapport with other people. Self-awareness focuses inward on understanding yourself."
11,3,true_false,preview,12,"EQ tends to predict teamwork, not raw IQ.",,true,cards/card_11.png,,
12,3,select_blank,main,,___ predicts teamwork; IQ predicts problem-solving.,EQ|IQ|GPA|EI,0,,,IQ predicts raw problem-solving ability; EQ predicts how well you work with others and handle pressure.
13,3,true_false,exercise,12,IQ and EQ predict the exact same outcomes.,,false,,,"They tend to predict different kinds of success, not the same thing."
14,3,select_blank,exercise,12,IQ tends to predict raw ___ ability.,problem-solving|kindness|patience,0,,,"IQ measures your cognitive capacity, which directly relates to how well you can solve problems or learn new things. Kindness and patience are character traits that fall under emotional intelligence."
15,3,multiple_choice,exercise,12,What does EQ help with under pressure?,Handles well|Avoids always|Ignores it,0,,,"Emotional intelligence helps you manage your feelings and react thoughtfully when stress hits, allowing you to handle difficult situations effectively. Avoiding or ignoring problems isn't a sustainable solution."
16,4,true_false,preview,17,Strong emotion can briefly override clear thinking.,,true,cards/card_16.png,,"That's right; intense feelings like anger or panic can temporarily hijack your rational thought processes, making it hard to think clearly."
17,4,multiple_choice,main,,What can a strong emotion briefly override?,Clear thinking|Your memory|Your vision,0,,,"Because judgment gets clouded in the moment, a heated moment is rarely the best time to make a big decision."
18,4,true_false,exercise,17,A heated moment is the best time to decide.,,false,,,"Strong emotion clouds judgment, so decisions made in the heat of the moment are often worse."
19,4,select_blank,exercise,17,A strong emotion can briefly ___ your thinking.,override|sharpen|clarify,0,,,"Strong emotions have the power to temporarily take control of your rational thought process, effectively overriding clear judgment. They don't sharpen or clarify thinking; they disrupt it."
20,4,multiple_choice,exercise,17,What is safer to avoid during a heated moment?,Big decisions|Small talk|Reading,0,,,"When emotions are running high, your judgment is compromised, so it's safest to pause and avoid making any major commitments or decisions. Small talk and reading aren't emotionally charged enough to derail you."
21,5,true_false,preview,22,EQ is a skill you can train.,,true,cards/card_21.png,,Emotional intelligence isn't something you're born with; it's a set of skills that can absolutely be developed through conscious effort and practice.
22,5,select_blank,main,,"EQ is a ___ skill, not a fixed trait.",trainable|useless|rare|random,0,,,"EQ is a skill you build with practice, like any other skill — not something fixed at birth."
23,5,select_blank,exercise,22,EQ improves with regular ___.,practice|luck|genetics,0,,,"Like any skill, emotional intelligence improves by actively practicing self-awareness and managing your emotions over time. Luck or genetics might play a role, but consistent practice is the key driver for improvement."
24,5,multiple_choice,exercise,22,What is EQ most like?,Trainable skill|Fixed trait|Test score,0,,,"EQ is best viewed as a trainable skill because it involves learning how to recognize and manage feelings, rather than being an inherent trait or a single score on a test."
